id,discount,duration,price
2561889.0,20.0,6.0,62.35
5549386.0,15.0,3.0,38.22
5549387.0,25.0,6.0,67.46
1808630.0,15.0,3.0,30.6
1808639.0,30.0,6.0,50.4
9655030.0,30.0,6.0,41.96
10276281.0,50.0,3.0,30.0
10276283.0,50.0,6.0,60.0
8898766.0,20.0,3.0,24.0
8898769.0,25.0,6.0,45.0
8409208.0,15.0,3.0,28.02
8409209.0,20.0,6.0,52.75
7939935.0,40.0,3.0,21.6
7939937.0,45.0,6.0,39.6
10415543.0,20.0,6.0,38.4
7414602.0,25.0,3.0,33.75
7414604.0,35.0,6.0,58.5
5263902.0,15.0,6.0,50.95
3610441.0,20.0,3.0,21.6
4960996.0,30.0,6.0,37.8
9218210.0,5.0,3.0,28.5
9218211.0,10.0,6.0,54.0
4391.0,10.0,3.0,13.47
4393.0,20.0,6.0,23.95
9802219.0,25.0,3.0,20.25
9802220.0,35.0,6.0,35.1
1708985.0,5.0,3.0,42.75
5733248.0,15.0,6.0,76.5
2080664.0,50.0,3.0,11.25
9421947.0,20.0,3.0,14.4
9421948.0,40.0,6.0,21.6
4979640.0,50.0,3.0,23.99
4979641.0,50.0,6.0,47.97
10505031.0,50.0,3.0,15.0
10505034.0,40.0,6.0,36.0
421243.0,40.0,3.0,23.38
1079644.0,45.0,6.0,42.87
9132152.0,30.0,3.0,31.5
9132153.0,35.0,6.0,58.5
10491078.0,25.0,3.0,22.5
10491079.0,35.0,6.0,39.0
2478097.0,10.0,3.0,27.0
2478096.0,20.0,6.0,48.0
5497467.0,10.0,3.0,53.97
5497468.0,20.0,6.0,95.95
4769793.0,15.0,3.0,25.47
4769794.0,20.0,6.0,47.95
1529595.0,15.0,3.0,33.12
886753.0,20.0,6.0,62.35
2465375.0,10.0,3.0,81.0
2465377.0,20.0,6.0,144.0
5451742.0,20.0,3.0,24.0
5451743.0,35.0,6.0,39.0
4114908.0,25.0,3.0,27.0
4114909.0,35.0,6.0,46.8
5272505.0,0.0,3.0,36.0
5272507.0,0.0,6.0,72.0
4940069.0,10.0,3.0,27.0
3744277.0,5.0,3.0,28.47
4469704.0,10.0,3.0,13.47
4469711.0,20.0,6.0,23.95
10329030.0,10.0,3.0,29.67
10329031.0,20.0,6.0,52.75
4034614.0,30.0,3.0,16.8
4034615.0,35.0,6.0,31.2
6908090.0,40.0,3.0,32.38
5158676.0,45.0,3.0,49.5
10606886.0,50.0,3.0,15.0
10606888.0,50.0,6.0,30.0
10432162.0,30.0,3.0,41.98
10432163.0,40.0,6.0,71.96
154660.0,15.0,3.0,15.3
154661.0,25.0,6.0,27.0
9466032.0,10.0,6.0,43.2
4291087.0,30.0,3.0,20.98
4291093.0,30.0,6.0,41.96
8206243.0,15.0,3.0,25.5
8206247.0,25.0,6.0,45.0
9847247.0,25.0,3.0,33.73
10152792.0,5.0,3.0,28.5
4798213.0,10.0,3.0,40.47
4798216.0,15.0,6.0,76.45
914907.0,25.0,3.0,29.23
3522065.0,35.0,6.0,50.66
1422250.0,15.0,3.0,31.88
1422262.0,20.0,6.0,60.0
8846195.0,30.0,3.0,41.89
8846197.0,40.0,6.0,71.82
63553.0,25.0,3.0,44.98
2824803.0,30.0,6.0,83.96
2928984.0,30.0,3.0,19.95
10378315.0,45.0,3.0,24.73
9092696.0,10.0,3.0,40.5
9092695.0,25.0,6.0,67.5
7493087.0,15.0,3.0,38.25
7493088.0,30.0,6.0,63.0
5928539.0,30.0,3.0,20.98
5928540.0,40.0,6.0,35.96
10478176.0,30.0,3.0,20.98
10478177.0,40.0,6.0,35.96
9569764.0,20.0,3.0,26.38
8672714.0,10.0,3.0,40.47
8672716.0,20.0,6.0,71.95
4813663.0,5.0,3.0,42.72
6330503.0,20.0,6.0,71.95
2533004.0,20.0,3.0,36.0
2533008.0,30.0,6.0,63.0
2177000.0,10.0,3.0,26.97
2177003.0,20.0,6.0,47.95
5451742.0,20.0,3.0,24.0
5451743.0,35.0,6.0,39.0
868262.0,10.0,3.0,40.47
134003.0,15.0,6.0,76.45
9804186.0,15.0,3.0,25.47
9956612.0,20.0,6.0,47.95
10602171.0,35.0,3.0,48.73
10602172.0,40.0,6.0,89.96
2411322.0,25.0,3.0,22.5
4270765.0,25.0,6.0,45.0
2702951.0,10.0,3.0,27.0
6965222.0,30.0,6.0,42.0
195426.0,10.0,3.0,53.92
10268673.0,30.0,3.0,42.0
10268674.0,40.0,6.0,72.0
1735862.0,35.0,3.0,11.6
1735864.0,35.0,6.0,23.21
9147379.0,40.0,3.0,21.58
9147381.0,45.0,6.0,39.57
2788414.0,30.0,3.0,27.28
10375369.0,30.0,3.0,23.08
10375370.0,40.0,6.0,39.56
7821092.0,40.0,6.0,64.76
5906648.0,40.0,6.0,71.96
8310376.0,40.0,3.0,21.6
8310377.0,45.0,6.0,39.6
5584664.0,15.0,3.0,63.75
5584663.0,20.0,6.0,120.0
6277601.0,25.0,3.0,45.0
6349730.0,25.0,6.0,90.0
3516792.0,10.0,3.0,27.0
2250240.0,20.0,6.0,48.0
8102321.0,40.0,3.0,11.99
8102322.0,50.0,6.0,19.98
6913482.0,20.0,3.0,30.0
6913480.0,30.0,6.0,52.5
9018519.0,25.0,3.0,22.5
9018520.0,35.0,6.0,39.0
7046617.0,10.0,3.0,54.0
7046618.0,15.0,6.0,102.0
1618778.0,10.0,3.0,40.47
1618780.0,20.0,6.0,71.95
6053851.0,0.0,3.0,29.97
4759467.0,40.0,6.0,35.96
8374413.0,25.0,6.0,89.96
8766416.0,40.0,3.0,21.6
2413281.0,45.0,6.0,39.6
3424486.0,20.0,3.0,19.2
3424487.0,35.0,6.0,31.2
680766.0,10.0,3.0,26.97
